cust_id,acct_nbr_x,credit_limit,credit_rating,account_active_x,acct_start_date_x,acct_end_date_x,starting_balance_x,ending_balance_x,average_transaction_time_x,CA,CG,FA,IQ_x,PM,tran_amt_x,principal_amt_x,interest_amt_x,new_balance_x,avg_days_btwn_trans_x,acct_nbr_y,minimum_balance_x,per_check_fee,account_active_y,acct_start_date_y,acct_end_date_y,starting_balance_y,ending_balance_y,average_transaction_time_y,DP,FK,FM,FP,FU,IN,IQ_y,TR,WD,tran_amt_y,principal_amt_y,interest_amt_y,new_balance_y,avg_days_btwn_trans_y,acct_nbr,minimum_balance_y,acct_type,account_active,acct_start_date,acct_end_date,starting_balance,ending_balance
1363160,4561143213631600.0,1000.0,0.0,1.0,1988-10-12,,657.46,286.69,,6.0,46.0,0.0,4.0,12.0,380.0299999999999,370.7699999999999,9.26,-286.69,5.313432835820896,,,,,,,,,,,,,,,,,,,,,,,,13631603.0,100.0,BS  ,Y ,1988-05-09,,113.04,122.54
1362487,4561143213624870.0,3000.0,0.0,1.0,1995-08-08,,0.0,1548.23,19:47,3.0,23.0,0.0,2.0,4.0,-1535.59,-1548.23,13.63,-1548.23,4.387096774193548,13624872.0,3000.0,0.0,1.0,1995-01-12,,2781.07,1401.21,19:47,2.0,0.0,0.0,12.0,0.0,12.0,6.0,4.0,16.0,-1378.69,-1409.55,30.86,1401.21,6.549019607843137,13624873.0,500.0,MM  ,N ,1994-06-27,1995-08-25,651.73,12.89
1362548,4561143213625480.0,6700.0,0.0,1.0,1986-11-11,,6965.25,68.68,16:13,0.0,13.0,0.0,1.0,8.0,6977.25,6896.57,80.68,-68.68,16.047619047619047,13625482.0,3000.0,0.0,1.0,1986-11-11,,6004.34,569.65,16:13,15.0,0.0,0.0,5.0,12.0,9.0,12.0,10.0,36.0,-5434.6900000000005,-5463.65,28.96,569.65,2.857142857142857,13625483.0,100.0,BS  ,Y ,1986-11-11,,250.24,254.02
1362752,4561143213627520.0,2400.0,0.0,0.0,1994-10-09,1995-04-02,2302.14,0.0,14:40,1.0,9.0,0.0,1.0,4.0,2406.65,2302.14,104.69,0.0,6.428571428571429,13627522.0,100.0,0.15,1.0,1994-01-08,,487.69,3.76,14:40,8.0,19.0,0.0,6.0,9.0,0.0,18.0,8.0,25.0,-483.93,-483.93,0.0,3.76,3.945652173913044,13627523.0,100.0,BS  ,Y ,1995-02-20,,600.26,609.33
1363017,4561143213630170.0,1000.0,0.0,1.0,1995-02-08,,0.0,1000.0,13:56,4.0,46.0,0.0,3.0,10.0,-956.1000000000004,-1000.0,44.44,-1000.0,5.145161290322581,13630172.0,3000.0,0.0,1.0,1994-03-19,,2694.91,147.15,13:56,16.0,0.0,0.0,2.0,2.0,2.0,19.0,8.0,50.0,-2547.76,-2548.53,0.77,147.15,0.6632653061224489,13630173.0,100.0,BS  ,N ,1994-04-27,1995-10-31,2011.02,2901.35
1362609,4561143213626090.0,3000.0,0.0,1.0,1992-07-20,,1775.07,3000.0,13:50,3.0,29.0,0.0,0.0,12.0,-874.3000000000001,-1224.93,350.63,-3000.0,8.186046511627907,13626092.0,3000.0,0.0,0.0,1994-06-14,1995-09-29,2563.27,15.38,13:50,18.0,0.0,0.0,2.0,1.0,1.0,26.0,12.0,39.0,-2547.44,-2547.45,0.01,15.38,0.826530612244898,13626093.0,500.0,MM  ,Y ,1995-06-22,,758.41,49.39
1363486,4561143213634860.0,2000.0,10.0,1.0,1995-12-08,,0.0,0.0,,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.5675675675675675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363078,4561143213630780.0,3000.0,0.0,1.0,1991-04-06,,2385.21,1147.07,15:03,6.0,30.0,0.0,2.0,12.0,1314.07,1238.14,75.92999999999999,-1095.07,7.224489795918367,13630782.0,100.0,0.15,1.0,1995-09-12,,301.36,167.83,15:03,14.0,21.0,0.0,3.0,0.0,0.0,24.0,10.0,27.0,-133.53000000000003,-133.53000000000003,0.0,167.83,0.9183673469387756,13630783.0,100.0,BS  ,Y ,1992-08-26,,127.81,596.38
1363282,4561143213632820.0,1300.0,0.0,1.0,1988-01-12,,46.42,272.69,15:47,3.0,21.0,0.0,0.0,12.0,-190.06,-226.27,36.66,-272.69,10.142857142857142,13632822.0,100.0,0.15,1.0,1988-03-05,,133.9,84.18,15:47,14.0,12.0,0.0,5.0,9.0,0.0,15.0,11.0,25.0,-49.71999999999992,-49.71999999999992,0.0,84.18,4.022222222222222,,,,,,,,
1363200,4561143213632000.0,1100.0,3.0,1.0,1995-02-01,,0.0,254.56,16:02,26.0,0.0,0.0,12.0,9.0,-238.8400000000001,-254.5600000000001,15.9,-254.56,6.152173913043479,13632002.0,3000.0,0.0,1.0,1992-04-10,,2801.98,955.03,16:02,15.0,0.0,0.0,6.0,0.0,6.0,20.0,11.0,41.0,-1846.95,-1851.46,4.51,955.03,1.969387755102041,13632003.0,100.0,BS  ,Y ,1993-10-24,,114.43,1357.19
